person,category,type,description,text
Michel_Audiard,writer,A,French screenwriter and film director,"['Paul Michel Audiard (French: [miʃɛl odjaʁ]; 15 May 1920 – 27 July 1985) was a French screenwriter and film director, known for his witty, irreverent and slang-laden dialogues which made him a prominent figure on the French cultural scene of the 1960s and 1970s.', 'He was the father of French film director Jacques Audiard.', ""1949 : Mission à Tanger, directed by André Hunebelle On n'aime qu'une fois, directed by Jean Stelli 1950 : Brune ou blonde, directed by Jacques Garcia Beware of Blondes, directed by André Hunebelle 1951 : Vedettes sans maquillage, directed by Jacques Guillon Une histoire d'amour, directed by Guy Lefranc Le Passe-muraille, directed by Jean Boyer Darling Caroline, directed by Richard Pottier Ma femme est formidable (uncredited), directed by André Hunebelle Massacre en dentelles, directed by André Hunebelle L'Homme de ma vie, directed by Guy Lefranc Bim le petit âne, directed by Albert Lamorisse 1952 : Adorables Créatures (uncredited), directed by Christian-Jaque Pour vous, mesdames (uncredited), directed by Jacques Garcia Elle et moi, directed by Guy Lefranc Le Feu quelque part, directed by Pierre Foucaud (Court-métrage) Le Duel à travers les âges, directed by Pierre Foucaud (Court-métrage) 1953 : Les Dents longues, directed by Daniel Gélin Quai des blondes, directed by Paul Cadéac Les Trois Mousquetaires, directed by André Hunebelle The Most Wanted Man, directed by Henri Verneuil 1954 : Destinées (uncredited), directed by Christian-Jaque, Jean Delannoy and Marcello Pagliero Sang et lumières, directed by Georges Rouquier Les Gaietés de l'escadron, directed by Paolo Moffa Poisson d'avril (1954), directed by Gilles Grangier Série noire, directed by Pierre Foucaud 1955 : Gas-oil, directed by Gilles Grangier 1956 : Jusqu'au dernier, directed by Pierre Billon Le Sang à la tête, directed by Gilles Grangier Mannequins de Paris, directed by André Hunebelle Short Head, directed by Norbert Carbonnaux 1957 : Le rouge est mis, directed by Gilles Grangier Mort en fraude, directed by Marcel Camus Three Days to Live, directed by Gilles Grangier Retour de manivelle, directed by Denys de La Patellière Maigret tend un piège, directed by Jean Delannoy 1958 : Les Misérables, directed by Jean-Paul Le Chanois Le désordre et la nuit, directed by Gilles Grangier Les Grandes Familles, directed by Denys de la Patellière Marchands de rien, directed by Daniel Lecomte (court-métrage) 1959 : Le fauve est lâché (uncredited), directed by Maurice Labro Archimède le clochard, directed by Gilles Grangier Pourquoi viens-tu si tard?, directed by Henri Decoin Maigret et l'Affaire Saint-Fiacre, directed by Jean Delannoy 125, rue Montmartre, directed by Gilles Grangier Rue des prairies, directed by Denys de la Patellière Babette s'en va-t-en guerre, directed by Christian-Jaque Eyes of Love, directed by Denys de la Patellière Vel d'Hiv', directed by Guy Blanc (Court-métrage) La Bête à l'affût, directed by Pierre Chenal Péchés de jeunesse, directed by Louis Duchesne    1960 : Le Baron de l'écluse, directed by Jean Delannoy La Française et l'amour, film à sketches, « L'Adultère », directed by Henri Verneuil Les Vieux de la vieille, directed by Gilles Grangier Spécial Noël : Jean Gabin (TV), directed by Frédéric Rossif Le Président, directed by Henri Verneuil 1961 : Un taxi pour Tobrouk, directed by Denys de la Patellière Les lions sont lâchés, directed by Henri Verneuil Les Amours célèbres - sketch « Les Comédiennes », directed by Michel Boisrond Le cave se rebiffe, directed by Gilles Grangier Le Bateau d'Émile, directed by Denys de la Patellière 1962 : Un singe en hiver, directed by Henri Verneuil Le Gentleman d'Epsom, directed by Gilles Grangier Le Diable et les Dix Commandements, directed by Julien Duvivier Le Voyage à Biarritz (uncredited), directed by Gilles Grangier 1963 : Mélodie en sous-sol, directed by Henri Verneuil Carambolages, directed by Marcel Bluwal Les Tontons flingueurs, directed by Georges Lautner Teuf-teuf (TV), directed by Georges Folgoas Des pissenlits par la racine, directed by Georges Lautner Cent mille dollars au soleil, directed by Henri Verneuil 1964 : Marcia Nuziale, directed by Marco Ferreri Les Barbouzes, directed by Georges Lautner Une foule enfin réunie, directed by Monique Chappelle (short movie) Un drôle de caïd or Une souris chez les hommes, directed by Jacques Poitrenaud Par un beau matin d'été, directed by Jacques Deray La Chasse à l'homme, directed by Edouard Molinaro 1965 : La Métamorphose des cloportes, directed by Pierre Granier-Deferre (scenario co-written with Albert Simonin, from Alphonse Boudard) Quand passent les faisans, directed by Edouard Molinaro Les Bons Vivants, directed by Gilles Grangier & Georges Lautner L'arme à gauche (uncredited), directed by Claude Sautet Ne nous fâchons pas, directed by Georges Lautner 1966 : Tendre Voyou, directed by Jean Becker Un idiot à Paris, directed by Serge Korber Sale temps pour les mouches, directed by Guy Lefranc Johnny Banco, directed by Yves Allégret 1967 : Le Pacha, directed by Georges Lautner All Mad About Him, directed by Norbert Carbonnaux Max le débonnaire (TV show), directed by Gilles Grangier, Yves Allégret and Jacques Deray La Grande Sauterelle, directed by Georges Lautner La Petite Vertu, directed by Serge Korber 1968 : Fleur d'oseille, directed by Georges Lautner Faut pas prendre les enfants du bon Dieu pour des canards sauvages 1969 : Sous le signe du taureau, directed by Gilles Grangier    1973 : Baxter !, directed by Lionel Jeffries 1974 : Comment réussir quand on est con et pleurnichard OK patron (uncredited), directed by Claude Vital 1975 : L'incorrigible, directed by Philippe de Broca 1976 : Le Grand Escogriffe, directed by Claude Pinoteau Le Corps de mon ennemi, directed by Henri Verneuil 1977 : Tendre Poulet, directed by Philippe de Broca Mort d'un pourri, directed by Georges Lautner L'Animal, directed by Claude Zidi 1978 : Le Cavaleur, directed by Philippe de Broca 1979 : Flic ou voyou, directed by Georges Lautner Les Égouts du paradis, directed by José Giovanni La Fabuleuse histoire de Roland-Garros, directed by Charles Gérard Le Guignolo, directed by Georges Lautner On a volé la cuisse de Jupiter, directed by Philippe de Broca    1980 : Le Coucou, directed by Francesco Massaro L'Entourloupe, directed by Gérard Pirès Pile ou Face, directed by Robert Enrico 1981 : Le Professionnel, directed by Georges Lautner Garde à vue, directed by Claude Miller Est-ce bien raisonnable ?, directed by Georges Lautner 1982 : Espion, lève-toi, directed by Yves Boisset 1983 : Mortelle randonnée, directed by Claude Miller Vive la sociale !, directed by Gérard Mordillat Le Marginal, directed by Jacques Deray 1984 : Canicule, directed by Yves Boisset Les Morfalous, directed by Henri Verneuil 1985 : On ne meurt que deux fois, directed by Jacques Deray from the novel of Robin Cook La Cage aux folles III, « Elles » se marient, directed by Georges Lautner."", ""Chantons sous l'Occupation, a documentary film    Michel Audiard at IMDb""]"
Sallust,writer,A,Roman historian and politician (86 BC - c.35 BC),"['Gaius Sallustius Crispus, usually anglicised as Sallust (; 86 – c. 35 BC), was a Roman historian and politician from an Italian plebeian family.', 'Sallust was born at Amiternum in the country of the Sabines and was a popularis, an opponent of the old Roman aristocracy, throughout his career, and later a partisan of Julius Caesar.', ""Sallust is the earliest known Latin-language Roman historian with surviving works to his name, of which Catiline's War (about the conspiracy in 63 BC of L. Sergius Catilina), The Jugurthine War (about Rome's war against the Numidian King Jugurtha from 111 to 105 BC), and the Histories (of which only fragments survive) are still extant."", 'Sallust was primarily influenced by the Greek historian Thucydides and amassed great (and ill-gotten) wealth from his governorship of Africa.', ""Sallust was probably born in Amiternum in Central Italy, though Eduard Schwartz takes the view that Sallust's birthplace was Rome.""]"
Naguib_Mahfouz,writer,A,Egyptian writer,"['Naguib Mahfouz (Arabic: نجيب محفوظ\u200e, romanized: Najīb Maḥfūẓ, IPA: [næˈɡiːb mɑħˈfuːzˤ]; 11 December 1911 – 30 August 2006) was an Egyptian writer who won the 1988 Nobel Prize for Literature.', 'He is regarded as one of the first contemporary writers of Arabic literature, along with Taha Hussein, to explore themes of existentialism.', 'He published 34 novels, over 350 short stories, dozens of movie scripts, hundreds of op-ed columns for Egyptian newspapers, and five plays over a 70-year career.', 'Many of his works have been made into Egyptian and foreign films.', 'Mahfouz was born in a lower middle-class Muslim Egyptian family in Old Cairo in 1911.']"
Marcel_Proust,writer,A,"French novelist, critic, and essayist","['Valentin Louis Georges Eugène Marcel Proust (; French: [maʁsɛl pʁust]; 10 July 1871 – 18 November 1922) was a French novelist, critic, and essayist who wrote the monumental novel À la recherche du temps perdu (In Search of Lost Time; earlier rendered as Remembrance of Things Past), published in seven parts between 1913 and 1927.', 'He is considered by critics and writers to be one of the most influential authors of the 20th century.', 'Proust was born on 10 July 1871, shortly after the conclusion of the Franco-Prussian war and at the very beginning of the Third Republic.', 'He was born in the Paris Borough of Auteuil (the south-western sector of the then-rustic 16th arrondissement) at the home of his great-uncle on 10 July 1871, two months after the Treaty of Frankfurt formally ended the Franco-Prussian War.', 'His birth took place during the violence that surrounded the suppression of the Paris Commune, and his childhood corresponded with the consolidation of the French Third Republic.']"
Simone_de_Beauvoir,writer,A,"French writer, intellectual, existentialist philosopher, political activist, feminist, and social theorist","['Simone Lucie Ernestine Marie Bertrand de Beauvoir (UK: , US: ; French: [simɔn də bovwaʁ] (listen); 9 January 1908 – 14 April 1986) was a French writer, intellectual, existentialist philosopher, political activist, feminist, and social theorist.', 'Though she did not consider herself a philosopher, she had a significant influence on both feminist existentialism and feminist theory.Beauvoir wrote novels, essays, biographies, autobiographies and monographs on philosophy, politics, and social issues.', ""She was known for her 1949 treatise The Second Sex, a detailed analysis of women's oppression and a foundational tract of contemporary feminism; and for her novels, including She Came to Stay and The Mandarins."", 'Her most enduring contribution to literature is her memoirs, notably the first volume, “Mémoires d’une jeune fille rangée” (1958), which have a warmth and descriptive power.', 'She won the 1954 Prix Goncourt, the 1975 Jerusalem Prize, and the 1978 Austrian State Prize for European Literature.']"
Alexander_Pushkin,writer,A,Russian poet (1799-1837),"['Alexander Sergeyevich Pushkin (English: ; Russian: Алекса́ндр Серге́евич Пу́шкин, tr.', 'Aleksándr Sergéyevich Púshkin, IPA: [ɐlʲɪkˈsandr sʲɪrˈɡʲe(j)ɪvʲɪtɕ ˈpuʂkʲɪn] (listen); 6 June [O.S.', '26 May] 1799 – 10 February [O.S.', '29 January] 1837) was a Russian poet, playwright, and novelist of the Romantic era.', 'He is considered by many to be the greatest Russian poet, and the founder of modern Russian literature.Pushkin was born into Russian nobility in Moscow.']"
Sophocles,writer,A,ancient Greek playwright,"['Sophocles (; Greek: Σοφοκλῆς, pronounced [so.pʰo.klɛ̂ːs]; c. 497/6 – winter 406/5 BC) is one of three ancient Greek tragedians whose plays have survived.', 'His first plays were written later than, or contemporary with, those of Aeschylus; and earlier than, or contemporary with, those of Euripides.', 'Sophocles wrote over 120 plays, but only seven have survived in a complete form: Ajax, Antigone, Women of Trachis, Oedipus Rex, Electra, Philoctetes and Oedipus at Colonus.', 'For almost fifty years, Sophocles was the most celebrated playwright in the dramatic competitions of the city-state of Athens which took place during the religious festivals of the Lenaea and the Dionysia.', 'He competed in thirty competitions, won twenty-four, and was never judged lower than second place.']"
Leo_Tolstoy,writer,A,Russian writer,"['Count Lev Nikolayevich Tolstoy (; Russian: Лев Николаевич Толстой, tr.', 'Lev Nikoláyevich Tolstóy, IPA: [lʲef nʲɪkɐˈla(j)ɪvʲɪtɕ tɐlˈstoj] (listen); 9 September, [O.S.', '28 August] 1828 –  20 November, [O.S.', '7 November] 1910), usually referred to in English as Leo Tolstoy, was a Russian writer who is regarded as one of the greatest authors of all time.', 'He received nominations for the Nobel Prize in Literature every year from 1902 to 1906 and for the Nobel Peace Prize in 1901, 1902, and 1909.']"
Rabindranath_Tagore,writer,A,Bengali poet and philosopher (1862-1941),"['Rabindranath Tagore  ( (listen); born Robindronath Thakur, 7 May 1861 – 7 August 1941; sobriquet Gurudev, Kobiguru, Biswakobi) was an Indian polymath – poet, writer, playwright, composer, philosopher, social reformer and painter.', 'He reshaped Bengali literature and music, as well as Indian art with Contextual Modernism in the late 19th and early 20th centuries.', 'Author of the ""profoundly sensitive, fresh and beautiful verse"" of Gitanjali, he became in 1913 the first non-European to win the Nobel Prize in Literature.', 'Tagore\'s poetic songs were viewed as spiritual and mercurial; however, his ""elegant prose and magical poetry"" remain largely unknown outside Bengal.', 'He is sometimes referred to as ""the Bard of Bengal"".A Bengali Brahmin from Calcutta with ancestral gentry roots in Burdwan district and Jessore, Tagore wrote poetry as an eight-year-old.']"
Mark_Twain,writer,A,American author and humorist,"['Samuel Langhorne Clemens (November 30, 1835 – April 21, 1910), known by his pen name Mark Twain, was an American writer, humorist, entrepreneur, publisher, and lecturer.', 'He was lauded as the ""greatest humorist the United States has produced,"" and William Faulkner called him ""the father of American literature"".', 'His novels include The Adventures of Tom Sawyer (1876) and its sequel, the Adventures of Huckleberry Finn (1884), the latter often called ""The Great American Novel"".', 'Twain was raised in Hannibal, Missouri, which later provided the setting for Tom Sawyer and Huckleberry Finn.', 'He served an apprenticeship with a printer and then worked as a typesetter, contributing articles to the newspaper of his older brother Orion Clemens.']"
Ada_Lovelace,writer,A,"English mathematician, considered the first computer programmer","[""Augusta Ada King, Countess of Lovelace (née Byron; 10 December 1815 – 27 November 1852) was an English mathematician and writer, chiefly known for her work on Charles Babbage's proposed mechanical general-purpose computer, the Analytical Engine."", 'She was the first to recognise that the machine had applications beyond pure calculation, and to have published the first algorithm intended to be carried out by such a machine.', 'As a result, she is often regarded as the first computer programmer.Ada Byron was the only child of poet Lord Byron and Lady Byron.', ""All of Byron's other children were born out of wedlock to other women."", 'Byron separated from his wife a month after Ada was born and left England forever four months later.']"
Émilie_du_Châtelet,writer,A,"French mathematician, physicist, and author","['Gabrielle Émilie Le Tonnelier de Breteuil, Marquise du Châtelet (French pronunciation: [emili dy ʃɑtlɛ] (listen); 17 December 1706-10 September 1749) was a French natural philosopher and mathematician during the early 1730s until her death due to complications during childbirth in 1749.', ""Her most recognized achievement is her translation of and commentary on Isaac Newton's 1687 book Principia containing basic laws of physics."", 'The translation, published posthumously in 1756, is still considered the standard French translation today.', 'Her commentary includes a profound contribution to Newtonian mechanics—the postulate of an additional conservation law for total energy, of which kinetic energy of motion is one element.', 'This led to her conceptualization of energy as such, and to derive its quantitative relationships to the mass and velocity of an object.']"
Pyotr_Ilyich_Tchaikovsky,writer,A,Russian composer,"['Pyotr Ilyich Tchaikovsky ( chy-KOF-skee; Russian: Пётр Ильи́ч Чайко́вский, IPA: [pʲɵtr ɨˈlʲjitɕ tɕɪjˈkofskʲɪj] (listen); 7 May 1840 – 6 November 1893) was a Russian composer of the Romantic period.', 'He was the first Russian composer whose music would make a lasting impression internationally.', 'He was honored in 1884 by Tsar Alexander III and awarded a lifetime pension.', 'Although musically precocious, Tchaikovsky was educated for a career as a civil servant.', 'There was scant opportunity for a musical career in Russia at the time and no system of public music education.']"
Giuseppe_Verdi,writer,A,Italian opera composer (1813-1901),"['Giuseppe Fortunino Francesco Verdi (Italian: [dʒuˈzɛppe ˈverdi]; 9 or 10 October 1813 – 27 January 1901) was an Italian opera composer.', 'He was born near Busseto to a provincial family of moderate means, and developed a musical education with the help of a local patron.', 'Verdi came to dominate the Italian opera scene after the era of Gioachino Rossini, Gaetano Donizetti, and Vincenzo Bellini, whose works significantly influenced him.', 'In his early operas, Verdi demonstrated a sympathy with the Risorgimento movement which sought the unification of Italy.', 'He also participated briefly as an elected politician.']"
Ibn_Battuta,writer,A,14th century Muslim Berber Moroccan scholar and explorer,"['Ibn Battuta (; 24 February 1304 – 1368/1369) was a Muslim Moroccan scholar, jurist and explorer who travelled extensively in Afro-Eurasia, largely in the lands of Dar al-Islam, travelling more than any other explorer in pre-modern history, totalling around 117,000 km (72,000 miles), surpassing Zheng He with about 50,000 km (30,000 miles) and Marco Polo with 24,000 km (15,000 miles).', 'Over a period of thirty years, Ibn Battuta visited most of southern Eurasia, including Central Asia, Southeast Asia, South Asia, China and the Iberian Peninsula.', 'Near the end of his life, he dictated an account of his journeys, titled A Gift to Those Who Contemplate the Wonders of Cities and the Marvels of Travelling, but commonly known as The Rihla.', ""All that is known about Ibn Battuta's life comes from the autobiographical information included in the account of his travels, which records that he was of Berber descent, born into a family of Islamic legal scholars in Tangier, known as qadis in the Muslim tradition,  Morocco, on 24 February 1304, during the reign of the Marinid dynasty."", 'His family belonged to a Berber tribe known as the Lawata.']"
Miep_Gies,writer,A,Dutch citizen who hid Anne Frank,"['Hermine ""Miep"" Gies (née Santruschitz; 15 February 1909 – 11 January 2010) (Dutch pronunciation: [ˈmip ˈxis]), was one of the Dutch citizens who hid Anne Frank, her family (Otto Frank, Margot Frank, Edith Frank-Holländer) and four other Dutch Jews (Fritz Pfeffer, Hermann van Pels, Auguste van Pels, Peter van Pels) from the Nazis in an annex above Otto Frank\'s business premises during World War II.', 'She was Austrian by birth, but in 1920, at the age of eleven, she was taken in as a foster child by a Dutch family to whom she became very attached.', 'Although she was initially only to stay for six months, this stay was extended to one year because of frail health, after which Gies chose to remain with them, living the rest of her life in the Netherlands.', 'She died in 2010 at age 100.', 'In 1933, Gies began working for Otto Frank, a Jewish businessman who had moved with his family from Germany to the Netherlands in the hope of sparing his family from Nazi persecution.']"
Dan_Brown,writer,A,American author,"['Daniel Gerhard Brown (born June 22, 1964) is an American author best known for his thriller novels, including the Robert Langdon novels Angels & Demons (2000), The Da Vinci Code (2003), The Lost Symbol (2009), Inferno (2013) and Origin (2017).', 'His novels are treasure hunts that usually take place over a period of 24 hours.', 'They feature recurring themes of cryptography, art, and conspiracy theories.', 'His books have been translated into 57 languages and, as of 2012, have sold over 200 million copies.', 'Three of them, Angels & Demons, The Da Vinci Code, and Inferno, have been adapted into films.']"
Robert_Schumann,writer,A,German composer,"['Robert Schumann (German: [ˈʃuːman]; 8 June 1810 – 29 July 1856) was a German composer, pianist, and influential music critic.', 'He is widely regarded as one of the greatest composers of the Romantic era.', 'Schumann left the study of law, intending to pursue a career as a virtuoso pianist.', 'His teacher, Friedrich Wieck, a German pianist, had assured him that he could become the finest pianist in Europe, but a hand injury ended this dream.', 'Schumann then focused his musical energies on composing.']"
Federico_Fellini,writer,A,Italian filmmaker,"['Federico Fellini,  (Italian: [fedeˈriːko felˈliːni]; 20 January 1920 – 31 October 1993) was an Italian film director and screenwriter known for his distinctive style, which blends fantasy and baroque images with earthiness.', 'He is recognized as one of the greatest and most influential filmmakers of all time.', 'His films have ranked highly in critical polls such as that of Cahiers du cinéma and Sight & Sound, which lists his 1963 film 8+1⁄2 as the 10th-greatest film.', ""For La Dolce Vita Fellini won the Palme d'Or; additionally, he was nominated for twelve Academy Awards, and won four in the category of Best Foreign Language Film, the most for any director in the history of the Academy."", 'He received an honorary award for Lifetime Achievement at the 65th Academy Awards in Los Angeles.']"
Emperor_Gaozong_of_Song,writer,A,emperor of Song Dynasty China,"['Emperor Gaozong of Song (12 June 1107 – 9 November 1187), personal name Zhao Gou, courtesy name Deji, was the tenth emperor of the Song dynasty in China and the first emperor of the Southern Song dynasty.', 'He was the ninth son of Emperor Huizong and a younger half-brother of Emperor Qinzong.', 'In 1127, during the wars between the Song dynasty and Jurchen-led Jin dynasty, the Song capital Bianjing (present-day Kaifeng) fell to Jin forces in an event historically known as the Jingkang Incident.', 'Emperors Huizong and Qinzong were taken prisoner by the Jurchens, while Zhao Gou managed to escape to southern China.', ""He reestablished the Song dynasty (as the Southern Song dynasty) in Lin'an (present-day Hangzhou) and was proclaimed emperor.""]"
Carmen_Hermosillo,writer,A,"Community manager, essayist, poet, research analyst","['Carmen Hermosillo (died August 10, 2008), A.K.A.', 'humdog, was a community manager/research analyst, essayist, and poet.', ""A contributor to 2GQ (now New Oregon Arts & Letters), FringeWare Review, wired, and Leonardo, Peter Ludlow's High Noon on the Electronic Frontier, and How to Mutate and Take Over the World, she was a participant in many online communities including early chat rooms and internet forums such as The WELL, BBSs, and later activities such as Second Life."", 'In 1994 she published a widely influential essay online, ""Pandora\'s Vox: On Community in Cyberspace"", in which she argued that the result of computer networks had led to, not a reduction in hierarchy, but actually a commodification of personality and a complex transfer of power and information to companies.', '""Pandora\'s Vox: On Community in Cyberspace"" (1994) ""Veni Redemptor: The Metallic Masks of God"" (1997) ""The History of the Board Ho"" (2004) ""A rant: Sex in Gaming"" (2005) ""Confessions of a Gorean Slave"" (2006) ""Roleplay and the Social Contract in Virtual Worlds"" (unfinished)       Hermosillo, Margarite (2010).']"
Sue_Gardner,writer,A,Canadian journalist & former executive director of the Wikimedia Foundation,"['Sue Gardner (born May 11, 1967) is a Canadian journalist, not-for-profit executive and business executive.', ""She was the executive director of the Wikimedia Foundation from December 2007 until May 2014, and before that was the director of the Canadian Broadcasting Corporation's website and online news outlets."", 'In 2012, she was ranked as the 70th-most powerful woman in the world by Forbes magazine.', 'In 2013, she joined the board of Global Voices.', 'In May 2015, the Tor Project announced that Gardner would be assisting the project with the development of their long-term organizational strategy.']"
Stacy_Horn,writer,A,"American author, businesswoman and occasional journalist","['Stacy Horn (born June 3, 1956 in Norfolk, Virginia) is an American author, businesswoman and occasional journalist.', 'She grew up on Long Island, New York and received a B.F.A.', 'from Tufts University and the School of the Museum of Fine Arts.', ""She received a graduate degree from New York University's Interactive Telecommunications Program.In 1990, after working as a telecommunications analyst for Mobil Corporation, Horn founded Echo, a New York-based bulletin board system."", 'Stacy Horn founded EchoNYC, a New York City Internet salon, in 1990, whose members are called Echoids.']"
Jude_Milhon,writer,A,American hacker & author,"['Judith [Jude] Milhon (March 12, 1939 – July 19, 2003), in Washington D.C., best known by her pseudonym St. Jude, was a self-taught programmer, civil rights advocate, writer, editor, advocate for women in computing   hacker and author in the San Francisco Bay Area.', 'Milhon coined the term cypherpunk and was a founding member of the cypherpunks.', 'On July 19, 2003, Milhon died of cancer.', 'Judith Milhon was born March 12, 1939 in Washington D.C., raised in Indiana, to a military family of the Marine Corps.', 'She married Robert Behling in 1961 and had one daughter, Tresca Behling, with him.']"
Leonhard_Euler,writer,A,Swiss mathematician,"['Leonhard Euler ( OY-lər; German: [ˈɔʏlɐ] (listen); 15 April 1707 – 18 September 1783) was a Swiss mathematician, physicist, astronomer, geographer, logician and engineer who made important and influential discoveries in many branches of mathematics, such as infinitesimal calculus and graph theory, while also making pioneering contributions to several branches such as topology and analytic number theory.', 'He also introduced much of the modern mathematical terminology and notation, particularly for mathematical analysis, such as the notion of a mathematical function.', 'He is also known for his work in mechanics, fluid dynamics, optics, astronomy and music theory.Euler is held to be one of the greatest mathematicians in history.', 'A 1988 Mathematical Intelligencer poll ranked 3 of his results in the top 5 most beautiful equations ever (his iconic identity was ranked number one).', 'A statement attributed to Pierre-Simon Laplace expresses Euler\'s influence on mathematics: ""Read Euler, read Euler, he is the master of us all.""']"
Loretta_Lux,painter,A,German photographer,"['Loretta Lux (born 1969) is a fine art photographer known for her surreal portraits of young children.', 'She lives and works in Ireland.', 'Lux has received the Infinity Award for Art from the International Center of Photography.', 'Her work is held in the collections of the Solomon R. Guggenheim Museum in New York, Museum of Contemporary Art, Los Angeles, Art Institute of Chicago and Art Gallery of New South Wales, Sydney.', 'Lux was born in Dresden, East Germany.']"
Princess_Marie_of_Hesse-Kassel,painter,A,German princess and painter (1796-1880),"['Princess and Landgravine Marie of Hesse-Kassel (German: Marie Wilhelmine Friederike von Hessen-Kassel; 21 January 1796 – 30 December 1880) was the consort of George, Grand Duke of Mecklenburg-Strelitz.', 'Princess Marie of Hesse-Kassel, second daughter of Prince Frederick of Hesse-Kassel, and his wife, Princess Caroline of Nassau-Usingen, was born at Hanau, Hesse-Kassel.', 'Through her father, she was a great-granddaughter of George II of Great Britain.', ""Her father's older brother was the Landgrave of Hesse-Kassel."", ""In 1803, her uncle's title was raised to Elector of Hesse — whereby the entire Kassel branch of the Hesse dynasty gained an upward notch in hierarchy.""]"
Hans_Grundig,painter,A,German artist (1901-1958),"['Hans Grundig (February 19, 1901 – September 11, 1958) was a German painter and graphic artist associated with the New Objectivity movement.', 'He was born in Dresden and, after an apprenticeship as an interior decorator, studied in 1920–1921 at the Dresden School of Arts and Crafts.', 'He then studied at the Dresden Academy from 1922 to 1923.', 'During the 1920s his paintings, primarily portraits of working-class subjects, were influenced by the work of Otto Dix.', 'Like his friend Gert Heinrich Wollheim, he often depicted himself in a theatrical manner, as in his Self-Portrait during the Carnival Season (1930).He had his first solo exhibition in 1930 at the Dresden gallery of Józef Sandel.']"
Georg_Wenzeslaus_von_Knobelsdorff,painter,A,German artist (1699-1753),"['Hans Georg Wenzeslaus von Knobelsdorff (17 February 1699 – 16 September 1753) was a painter and architect in Prussia.', 'Knobelsdorff was born in Kuckädel, now in Krosno Odrzańskie County.', 'A soldier in the service of Prussia, he resigned his commission in 1729 as captain so that he could pursue his interest in architecture.', 'In 1740 he travelled to Paris and Italy to study at the expense of the new king, Frederick II of Prussia.', 'Knobelsdorff was influenced as an architect by French Baroque Classicism and by Palladian architecture.']"
Carl_Ferdinand_Appun,painter,A,German scientist (1820-1872),"['Carl Ferdinand Appun (24 May  1820,  Bunzlau- July 1872,  Guyana) was a German naturalist.', 'On the recommendation of Alexander von Humboldt  Appun was employed by Frederick William IV of Prussia as a botanist in Venezuela where excepting a one-year break in Germany, he spent ten years exploring the flora.', 'After that he went to British Guayana, where he researched as a botanist on behalf the British government.', 'He also visited parts of Brazil -the Rio Branco and Rio Negro on the Amazon to Tabatinga.', 'During a visit in Germany (1868–1871) he published a set of essays in different magazines .']"
Rosemarie_Trockel,painter,A,German artist,"['Rosemarie Trockel (born 13 November 1952) is a German conceptual artist.', 'She has made drawings, paintings, sculptures, videos and installations, and has worked in mixed media.', 'From 1985 she made pictures using knitting-machines.', 'She is a professor at the Kunstakademie Düsseldorf, in Düsseldorf in Nordrhein-Westfalen.', 'Trockel was born on 13 November 1952 in Schwerte, in Nordrhein-Westfalen in West Germany.']"
Ferdinand_Deppe,painter,A,German naturalist (1795-1861),"['Ferdinand Deppe (1794–1861) was a German naturalist, explorer and painter.', 'He was born and died in Berlin.', 'Deppe travelled to Mexico in 1824.', 'He collected natural history specimens for the Berlin Museum with Count von Sack and William Bullock.', 'He also collected in California and Hawaii on his way home in 1830.']"
Carl_Joseph_Begas,painter,A,German painter (1794-1854),"['Carl Joseph Begas, or Karl Begas, (30 September 1794 – 24 November 1854), was a German historical painter born at Heinsberg near Aachen.', ""His father, a retired judge, destined him for the legal profession, but the boy's tastes pointed definitely in another direction."", 'Even at school he was remarked for his wonderful skill in drawing and painting, and in 1812 he was permitted to visit Paris in order to perfect his art.', 'Begas studied for eighteen months in the atelier of Antoine Jean Gros then began to work independently.', 'In 1814 his copy of The Madonna della Sedia was bought by the king of Prussia, who was attracted by the young artist and did much to advance him.']"
Oskar_Fischinger,painter,A,"German-American abstract animator, filmmaker, and painter (1900-1967)","['Oskar Wilhelm Fischinger (22 June 1900 – 31 January 1967) was a German-American abstract animator, filmmaker, and painter, notable for creating abstract musical animation many decades before the appearance of computer graphics and music videos.', ""He created special effects for Fritz Lang's 1929 Woman in the Moon, one of the first sci-fi rocket movies, and influenced Disney's Fantasia."", 'He made over 50 short films and painted around 800 canvases, many of which are in museums, galleries, and collections worldwide.', 'Among his film works is Motion Painting No.', '1 (1947), which is now listed on the National Film Registry of the U.S. Library of Congress.']"
Ferdinand_von_Arnim,painter,A,German artist (1814-1866),"['Heinrich Ludwig Ferdinand von Arnim (15 September 1814 – 23 March 1866) was a German architect and watercolour-painter.', 'He was a student of Karl Friedrich Schinkel and mainly worked in Berlin and Potsdam.', 'Arnim was born in Treptow an der Rega in Pomerania (present-day Trzebiatów, Poland), the son of Prussian Captain Friedrich Ludwig von Arnim and his wife Henriette, née Gadebusch.', 'He trained as a land surveyor and studied architecture at the Royal Prussian Building School (Bauakademie) in Berlin between 1833 and 1838.', ""Having completed his studies, he joined the Berlin Architects' Association in 1839, from 1840 he worked as site foreman under Friedrich Ludwig Persius and in 1844 was appointed building inspector official.""]"
