person,text,processed_text,description,processed_description,type,category
Marcel_Proust,"['Valentin Louis Georges Eugène Marcel Proust (; French: [maʁsɛl pʁust]; 10 July 1871 – 18 November 1922) was a French novelist, critic, and essayist who wrote the monumental novel À la recherche du temps perdu (In Search of Lost Time; earlier rendered as Remembrance of Things Past), published in seven parts between 1913 and 1927.', 'He is considered by critics and writers to be one of the most influential authors of the 20th century.', 'Proust was born on 10 July 1871, shortly after the conclusion of the Franco-Prussian war and at the very beginning of the Third Republic.', 'He was born in the Paris Borough of Auteuil (the south-western sector of the then-rustic 16th arrondissement) at the home of his great-uncle on 10 July 1871, two months after the Treaty of Frankfurt formally ended the Franco-Prussian War.', 'His birth took place during the violence that surrounded the suppression of the Paris Commune, and his childhood corresponded with the consolidation of the French Third Republic.']","[ 'valentin louis georges eugène marcel proust ( ; french : [ maʁsɛl pʁust ] ; 10 july 1871 – 18 november 1922 ) french novelist , critic , essayist wrote monumental novel à la recherche du temps perdu ( search lost time ; earlier rendered remembrance things past ) , published seven parts 1913 1927 . ' , 'he considered critics writers one influential authors 20th century . ' , 'proust born 10 july 1871 , shortly conclusion franco-prussian war beginning third republic . ' , 'he born paris borough auteuil ( south-western sector then-rustic 16th arrondissement ) home great-uncle 10 july 1871 , two months treaty frankfurt formally ended franco-prussian war . ' , 'his birth took place violence surrounded suppression paris commune , childhood corresponded consolidation french third republic . ' ]","French novelist, critic, and essayist","french novelist , critic , essayist",A,writer
Simone_de_Beauvoir,"['Simone Lucie Ernestine Marie Bertrand de Beauvoir (UK: , US: ; French: [simɔn də bovwaʁ] (listen); 9 January 1908 – 14 April 1986) was a French writer, intellectual, existentialist philosopher, political activist, feminist, and social theorist.', 'Though she did not consider herself a philosopher, she had a significant influence on both feminist existentialism and feminist theory.Beauvoir wrote novels, essays, biographies, autobiographies and monographs on philosophy, politics, and social issues.', ""She was known for her 1949 treatise The Second Sex, a detailed analysis of women's oppression and a foundational tract of contemporary feminism; and for her novels, including She Came to Stay and The Mandarins."", 'Her most enduring contribution to literature is her memoirs, notably the first volume, “Mémoires d’une jeune fille rangée” (1958), which have a warmth and descriptive power.', 'She won the 1954 Prix Goncourt, the 1975 Jerusalem Prize, and the 1978 Austrian State Prize for European Literature.']","[ 'simone lucie ernestine marie bertrand de beauvoir ( uk : , us : ; french : [ simɔn də bovwaʁ ] ( listen ) ; 9 january 1908 – 14 april 1986 ) french writer , intellectual , existentialist philosopher , political activist , feminist , social theorist . ' , 'though consider philosopher , significant influence feminist existentialism feminist theory.beauvoir wrote novels , essays , biographies , autobiographies monographs philosophy , politics , social issues . ' , `` known 1949 treatise second sex , detailed analysis women 's oppression foundational tract contemporary feminism ; novels , including came stay mandarins . `` , 'her enduring contribution literature memoirs , notably first volume , “ mémoires ’ une jeune fille rangée ” ( 1958 ) , warmth descriptive power . ' , 'she 1954 prix goncourt , 1975 jerusalem prize , 1978 austrian state prize european literature . ' ]","French writer, intellectual, existentialist philosopher, political activist, feminist, and social theorist","french writer , intellectual , existentialist philosopher , political activist , feminist , social theorist",A,writer
Alexander_Pushkin,"['Alexander Sergeyevich Pushkin (English: ; Russian: Алекса́ндр Серге́евич Пу́шкин, tr.', 'Aleksándr Sergéyevich Púshkin, IPA: [ɐlʲɪkˈsandr sʲɪrˈɡʲe(j)ɪvʲɪtɕ ˈpuʂkʲɪn] (listen); 6 June [O.S.', '26 May] 1799 – 10 February [O.S.', '29 January] 1837) was a Russian poet, playwright, and novelist of the Romantic era.', 'He is considered by many to be the greatest Russian poet, and the founder of modern Russian literature.Pushkin was born into Russian nobility in Moscow.']","[ 'alexander sergeyevich pushkin ( english : ; russian : алекса́ндр серге́евич пу́шкин , tr . ' , 'aleksándr sergéyevich púshkin , ipa : [ ɐlʲɪkˈsandr sʲɪrˈɡʲe ( j ) ɪvʲɪtɕ ˈpuʂkʲɪn ] ( listen ) ; 6 june [ o.s . ' , '26 may ] 1799 – 10 february [ o.s . ' , '29 january ] 1837 ) russian poet , playwright , novelist romantic era . ' , 'he considered many greatest russian poet , founder modern russian literature.pushkin born russian nobility moscow . ' ]",Russian poet (1799-1837),russian poet ( 1799-1837 ),A,writer
Sophocles,"['Sophocles (; Greek: Σοφοκλῆς, pronounced [so.pʰo.klɛ̂ːs]; c. 497/6 – winter 406/5 BC) is one of three ancient Greek tragedians whose plays have survived.', 'His first plays were written later than, or contemporary with, those of Aeschylus; and earlier than, or contemporary with, those of Euripides.', 'Sophocles wrote over 120 plays, but only seven have survived in a complete form: Ajax, Antigone, Women of Trachis, Oedipus Rex, Electra, Philoctetes and Oedipus at Colonus.', 'For almost fifty years, Sophocles was the most celebrated playwright in the dramatic competitions of the city-state of Athens which took place during the religious festivals of the Lenaea and the Dionysia.', 'He competed in thirty competitions, won twenty-four, and was never judged lower than second place.']","[ 'sophocles ( ; greek : σοφοκλῆς , pronounced [ so.pʰo.klɛ̂ːs ] ; c. 497/6 – winter 406/5 bc ) one three ancient greek tragedians whose plays survived . ' , 'his first plays written later , contemporary , aeschylus ; earlier , contemporary , euripides . ' , 'sophocles wrote 120 plays , seven survived complete form : ajax , antigone , women trachis , oedipus rex , electra , philoctetes oedipus colonus . ' , 'for almost fifty years , sophocles celebrated playwright dramatic competitions city-state athens took place religious festivals lenaea dionysia . ' , 'he competed thirty competitions , twenty-four , never judged lower second place . ' ]",ancient Greek playwright,ancient greek playwright,A,writer
Leo_Tolstoy,"['Count Lev Nikolayevich Tolstoy (; Russian: Лев Николаевич Толстой, tr.', 'Lev Nikoláyevich Tolstóy, IPA: [lʲef nʲɪkɐˈla(j)ɪvʲɪtɕ tɐlˈstoj] (listen); 9 September, [O.S.', '28 August] 1828 –  20 November, [O.S.', '7 November] 1910), usually referred to in English as Leo Tolstoy, was a Russian writer who is regarded as one of the greatest authors of all time.', 'He received nominations for the Nobel Prize in Literature every year from 1902 to 1906 and for the Nobel Peace Prize in 1901, 1902, and 1909.']","[ 'count lev nikolayevich tolstoy ( ; russian : лев николаевич толстой , tr . ' , 'lev nikoláyevich tolstóy , ipa : [ lʲef nʲɪkɐˈla ( j ) ɪvʲɪtɕ tɐlˈstoj ] ( listen ) ; 9 september , [ o.s . ' , '28 august ] 1828 – 20 november , [ o.s . ' , ' 7 november ] 1910 ) , usually referred english leo tolstoy , russian writer regarded one greatest authors time . ' , 'he received nominations nobel prize literature every year 1902 1906 nobel peace prize 1901 , 1902 , 1909 . ' ]",Russian writer,russian writer,A,writer
Rabindranath_Tagore,"['Rabindranath Tagore  ( (listen); born Robindronath Thakur, 7 May 1861 – 7 August 1941; sobriquet Gurudev, Kobiguru, Biswakobi) was an Indian polymath – poet, writer, playwright, composer, philosopher, social reformer and painter.', 'He reshaped Bengali literature and music, as well as Indian art with Contextual Modernism in the late 19th and early 20th centuries.', 'Author of the ""profoundly sensitive, fresh and beautiful verse"" of Gitanjali, he became in 1913 the first non-European to win the Nobel Prize in Literature.', 'Tagore\'s poetic songs were viewed as spiritual and mercurial; however, his ""elegant prose and magical poetry"" remain largely unknown outside Bengal.', 'He is sometimes referred to as ""the Bard of Bengal"".A Bengali Brahmin from Calcutta with ancestral gentry roots in Burdwan district and Jessore, Tagore wrote poetry as an eight-year-old.']","[ 'rabindranath tagore ( ( listen ) ; born robindronath thakur , 7 may 1861 – 7 august 1941 ; sobriquet gurudev , kobiguru , biswakobi ) indian polymath – poet , writer , playwright , composer , philosopher , social reformer painter . ' , 'he reshaped bengali literature music , well indian art contextual modernism late 19th early 20th centuries . ' , 'author `` profoundly sensitive , fresh beautiful verse '' gitanjali , became 1913 first non-european win nobel prize literature . ' , 'tagore\ 's poetic songs viewed spiritual mercurial ; however , `` elegant prose magical poetry '' remain largely unknown outside bengal . ' , 'he sometimes referred `` bard bengal '' .a bengali brahmin calcutta ancestral gentry roots burdwan district jessore , tagore wrote poetry eight-year-old . ' ]",Bengali poet and philosopher (1862-1941),bengali poet philosopher ( 1862-1941 ),A,writer
Mark_Twain,"['Samuel Langhorne Clemens (November 30, 1835 – April 21, 1910), known by his pen name Mark Twain, was an American writer, humorist, entrepreneur, publisher, and lecturer.', 'He was lauded as the ""greatest humorist the United States has produced,"" and William Faulkner called him ""the father of American literature"".', 'His novels include The Adventures of Tom Sawyer (1876) and its sequel, the Adventures of Huckleberry Finn (1884), the latter often called ""The Great American Novel"".', 'Twain was raised in Hannibal, Missouri, which later provided the setting for Tom Sawyer and Huckleberry Finn.', 'He served an apprenticeship with a printer and then worked as a typesetter, contributing articles to the newspaper of his older brother Orion Clemens.']","[ 'samuel langhorne clemens ( november 30 , 1835 – april 21 , 1910 ) , known pen name mark twain , american writer , humorist , entrepreneur , publisher , lecturer . ' , 'he lauded `` greatest humorist united states produced , '' william faulkner called `` father american literature '' . ' , 'his novels include adventures tom sawyer ( 1876 ) sequel , adventures huckleberry finn ( 1884 ) , latter often called `` great american novel '' . ' , 'twain raised hannibal , missouri , later provided setting tom sawyer huckleberry finn . ' , 'he served apprenticeship printer worked typesetter , contributing articles newspaper older brother orion clemens . ' ]",American author and humorist,american author humorist,A,writer
Ada_Lovelace,"[""Augusta Ada King, Countess of Lovelace (née Byron; 10 December 1815 – 27 November 1852) was an English mathematician and writer, chiefly known for her work on Charles Babbage's proposed mechanical general-purpose computer, the Analytical Engine."", 'She was the first to recognise that the machine had applications beyond pure calculation, and to have published the first algorithm intended to be carried out by such a machine.', 'As a result, she is often regarded as the first computer programmer.Ada Byron was the only child of poet Lord Byron and Lady Byron.', ""All of Byron's other children were born out of wedlock to other women."", 'Byron separated from his wife a month after Ada was born and left England forever four months later.']","[ `` augusta ada king , countess lovelace ( née byron ; 10 december 1815 – 27 november 1852 ) english mathematician writer , chiefly known work charles babbage 's proposed mechanical general-purpose computer , analytical engine . `` , 'she first recognise machine applications beyond pure calculation , published first algorithm intended carried machine . ' , 'as result , often regarded first computer programmer.ada byron child poet lord byron lady byron . ' , `` byron 's children born wedlock women . `` , 'byron separated wife month ada born left england forever four months later . ' ]","English mathematician, considered the first computer programmer","english mathematician , considered first computer programmer",A,writer
Émilie_du_Châtelet,"['Gabrielle Émilie Le Tonnelier de Breteuil, Marquise du Châtelet (French pronunciation: [emili dy ʃɑtlɛ] (listen); 17 December 1706-10 September 1749) was a French natural philosopher and mathematician during the early 1730s until her death due to complications during childbirth in 1749.', ""Her most recognized achievement is her translation of and commentary on Isaac Newton's 1687 book Principia containing basic laws of physics."", 'The translation, published posthumously in 1756, is still considered the standard French translation today.', 'Her commentary includes a profound contribution to Newtonian mechanics—the postulate of an additional conservation law for total energy, of which kinetic energy of motion is one element.', 'This led to her conceptualization of energy as such, and to derive its quantitative relationships to the mass and velocity of an object.']","[ 'gabrielle émilie le tonnelier de breteuil , marquise du châtelet ( french pronunciation : [ emili dy ʃɑtlɛ ] ( listen ) ; 17 december 1706-10 september 1749 ) french natural philosopher mathematician early 1730s death due complications childbirth 1749 . ' , `` recognized achievement translation commentary isaac newton 's 1687 book principia containing basic laws physics . `` , 'the translation , published posthumously 1756 , still considered standard french translation today . ' , 'her commentary includes profound contribution newtonian mechanics—the postulate additional conservation law total energy , kinetic energy motion one element . ' , 'this led conceptualization energy , derive quantitative relationships mass velocity object . ' ]","French mathematician, physicist, and author","french mathematician , physicist , author",A,writer
Pyotr_Ilyich_Tchaikovsky,"['Pyotr Ilyich Tchaikovsky ( chy-KOF-skee; Russian: Пётр Ильи́ч Чайко́вский, IPA: [pʲɵtr ɨˈlʲjitɕ tɕɪjˈkofskʲɪj] (listen); 7 May 1840 – 6 November 1893) was a Russian composer of the Romantic period.', 'He was the first Russian composer whose music would make a lasting impression internationally.', 'He was honored in 1884 by Tsar Alexander III and awarded a lifetime pension.', 'Although musically precocious, Tchaikovsky was educated for a career as a civil servant.', 'There was scant opportunity for a musical career in Russia at the time and no system of public music education.']","[ 'pyotr ilyich tchaikovsky ( chy-kof-skee ; russian : пётр ильи́ч чайко́вский , ipa : [ pʲɵtr ɨˈlʲjitɕ tɕɪjˈkofskʲɪj ] ( listen ) ; 7 may 1840 – 6 november 1893 ) russian composer romantic period . ' , 'he first russian composer whose music would make lasting impression internationally . ' , 'he honored 1884 tsar alexander iii awarded lifetime pension . ' , 'although musically precocious , tchaikovsky educated career civil servant . ' , 'there scant opportunity musical career russia time system public music education . ' ]",Russian composer,russian composer,A,writer
Giuseppe_Verdi,"['Giuseppe Fortunino Francesco Verdi (Italian: [dʒuˈzɛppe ˈverdi]; 9 or 10 October 1813 – 27 January 1901) was an Italian opera composer.', 'He was born near Busseto to a provincial family of moderate means, and developed a musical education with the help of a local patron.', 'Verdi came to dominate the Italian opera scene after the era of Gioachino Rossini, Gaetano Donizetti, and Vincenzo Bellini, whose works significantly influenced him.', 'In his early operas, Verdi demonstrated a sympathy with the Risorgimento movement which sought the unification of Italy.', 'He also participated briefly as an elected politician.']","[ 'giuseppe fortunino francesco verdi ( italian : [ dʒuˈzɛppe ˈverdi ] ; 9 10 october 1813 – 27 january 1901 ) italian opera composer . ' , 'he born near busseto provincial family moderate means , developed musical education help local patron . ' , 'verdi came dominate italian opera scene era gioachino rossini , gaetano donizetti , vincenzo bellini , whose works significantly influenced . ' , 'in early operas , verdi demonstrated sympathy risorgimento movement sought unification italy . ' , 'he also participated briefly elected politician . ' ]",Italian opera composer (1813-1901),italian opera composer ( 1813-1901 ),A,writer
Ibn_Battuta,"['Ibn Battuta (; 24 February 1304 – 1368/1369) was a Muslim Moroccan scholar, jurist and explorer who travelled extensively in Afro-Eurasia, largely in the lands of Dar al-Islam, travelling more than any other explorer in pre-modern history, totalling around 117,000 km (72,000 miles), surpassing Zheng He with about 50,000 km (30,000 miles) and Marco Polo with 24,000 km (15,000 miles).', 'Over a period of thirty years, Ibn Battuta visited most of southern Eurasia, including Central Asia, Southeast Asia, South Asia, China and the Iberian Peninsula.', 'Near the end of his life, he dictated an account of his journeys, titled A Gift to Those Who Contemplate the Wonders of Cities and the Marvels of Travelling, but commonly known as The Rihla.', ""All that is known about Ibn Battuta's life comes from the autobiographical information included in the account of his travels, which records that he was of Berber descent, born into a family of Islamic legal scholars in Tangier, known as qadis in the Muslim tradition,  Morocco, on 24 February 1304, during the reign of the Marinid dynasty."", 'His family belonged to a Berber tribe known as the Lawata.']","[ 'ibn battuta ( ; 24 february 1304 – 1368/1369 ) muslim moroccan scholar , jurist explorer travelled extensively afro-eurasia , largely lands dar al-islam , travelling explorer pre-modern history , totalling around 117,000 km ( 72,000 miles ) , surpassing zheng 50,000 km ( 30,000 miles ) marco polo 24,000 km ( 15,000 miles ) . ' , 'over period thirty years , ibn battuta visited southern eurasia , including central asia , southeast asia , south asia , china iberian peninsula . ' , 'near end life , dictated account journeys , titled gift contemplate wonders cities marvels travelling , commonly known rihla . ' , `` known ibn battuta 's life comes autobiographical information included account travels , records berber descent , born family islamic legal scholars tangier , known qadis muslim tradition , morocco , 24 february 1304 , reign marinid dynasty . `` , 'his family belonged berber tribe known lawata . ' ]",14th century Muslim Berber Moroccan scholar and explorer,14th century muslim berber moroccan scholar explorer,A,writer
Miep_Gies,"['Hermine ""Miep"" Gies (née Santruschitz; 15 February 1909 – 11 January 2010) (Dutch pronunciation: [ˈmip ˈxis]), was one of the Dutch citizens who hid Anne Frank, her family (Otto Frank, Margot Frank, Edith Frank-Holländer) and four other Dutch Jews (Fritz Pfeffer, Hermann van Pels, Auguste van Pels, Peter van Pels) from the Nazis in an annex above Otto Frank\'s business premises during World War II.', 'She was Austrian by birth, but in 1920, at the age of eleven, she was taken in as a foster child by a Dutch family to whom she became very attached.', 'Although she was initially only to stay for six months, this stay was extended to one year because of frail health, after which Gies chose to remain with them, living the rest of her life in the Netherlands.', 'She died in 2010 at age 100.', 'In 1933, Gies began working for Otto Frank, a Jewish businessman who had moved with his family from Germany to the Netherlands in the hope of sparing his family from Nazi persecution.']","[ 'hermine `` miep '' gies ( née santruschitz ; 15 february 1909 – 11 january 2010 ) ( dutch pronunciation : [ ˈmip ˈxis ] ) , one dutch citizens hid anne frank , family ( otto frank , margot frank , edith frank-holländer ) four dutch jews ( fritz pfeffer , hermann van pels , auguste van pels , peter van pels ) nazis annex otto frank\ 's business premises world war ii . ' , 'she austrian birth , 1920 , age eleven , taken foster child dutch family became attached . ' , 'although initially stay six months , stay extended one year frail health , gies chose remain , living rest life netherlands . ' , 'she died 2010 age 100 . ' , 'in 1933 , gies began working otto frank , jewish businessman moved family germany netherlands hope sparing family nazi persecution . ' ]",Dutch citizen who hid Anne Frank,dutch citizen hid anne frank,A,writer
Dan_Brown,"['Daniel Gerhard Brown (born June 22, 1964) is an American author best known for his thriller novels, including the Robert Langdon novels Angels & Demons (2000), The Da Vinci Code (2003), The Lost Symbol (2009), Inferno (2013) and Origin (2017).', 'His novels are treasure hunts that usually take place over a period of 24 hours.', 'They feature recurring themes of cryptography, art, and conspiracy theories.', 'His books have been translated into 57 languages and, as of 2012, have sold over 200 million copies.', 'Three of them, Angels & Demons, The Da Vinci Code, and Inferno, have been adapted into films.']","[ 'daniel gerhard brown ( born june 22 , 1964 ) american author best known thriller novels , including robert langdon novels angels & demons ( 2000 ) , da vinci code ( 2003 ) , lost symbol ( 2009 ) , inferno ( 2013 ) origin ( 2017 ) . ' , 'his novels treasure hunts usually take place period 24 hours . ' , 'they feature recurring themes cryptography , art , conspiracy theories . ' , 'his books translated 57 languages , 2012 , sold 200 million copies . ' , 'three , angels & demons , da vinci code , inferno , adapted films . ' ]",American author,american author,A,writer
Robert_Schumann,"['Robert Schumann (German: [ˈʃuːman]; 8 June 1810 – 29 July 1856) was a German composer, pianist, and influential music critic.', 'He is widely regarded as one of the greatest composers of the Romantic era.', 'Schumann left the study of law, intending to pursue a career as a virtuoso pianist.', 'His teacher, Friedrich Wieck, a German pianist, had assured him that he could become the finest pianist in Europe, but a hand injury ended this dream.', 'Schumann then focused his musical energies on composing.']","[ 'robert schumann ( german : [ ˈʃuːman ] ; 8 june 1810 – 29 july 1856 ) german composer , pianist , influential music critic . ' , 'he widely regarded one greatest composers romantic era . ' , 'schumann left study law , intending pursue career virtuoso pianist . ' , 'his teacher , friedrich wieck , german pianist , assured could become finest pianist europe , hand injury ended dream . ' , 'schumann focused musical energies composing . ' ]",German composer,german composer,A,writer
Federico_Fellini,"['Federico Fellini,  (Italian: [fedeˈriːko felˈliːni]; 20 January 1920 – 31 October 1993) was an Italian film director and screenwriter known for his distinctive style, which blends fantasy and baroque images with earthiness.', 'He is recognized as one of the greatest and most influential filmmakers of all time.', 'His films have ranked highly in critical polls such as that of Cahiers du cinéma and Sight & Sound, which lists his 1963 film 8+1⁄2 as the 10th-greatest film.', ""For La Dolce Vita Fellini won the Palme d'Or; additionally, he was nominated for twelve Academy Awards, and won four in the category of Best Foreign Language Film, the most for any director in the history of the Academy."", 'He received an honorary award for Lifetime Achievement at the 65th Academy Awards in Los Angeles.']","[ 'federico fellini , ( italian : [ fedeˈriːko felˈliːni ] ; 20 january 1920 – 31 october 1993 ) italian film director screenwriter known distinctive style , blends fantasy baroque images earthiness . ' , 'he recognized one greatest influential filmmakers time . ' , 'his films ranked highly critical polls cahiers du cinéma sight & sound , lists 1963 film 8+1⁄2 10th-greatest film . ' , `` la dolce vita fellini palme d'or ; additionally , nominated twelve academy awards , four category best foreign language film , director history academy . `` , 'he received honorary award lifetime achievement 65th academy awards los angeles . ' ]",Italian filmmaker,italian filmmaker,A,writer
Emperor_Gaozong_of_Song,"['Emperor Gaozong of Song (12 June 1107 – 9 November 1187), personal name Zhao Gou, courtesy name Deji, was the tenth emperor of the Song dynasty in China and the first emperor of the Southern Song dynasty.', 'He was the ninth son of Emperor Huizong and a younger half-brother of Emperor Qinzong.', 'In 1127, during the wars between the Song dynasty and Jurchen-led Jin dynasty, the Song capital Bianjing (present-day Kaifeng) fell to Jin forces in an event historically known as the Jingkang Incident.', 'Emperors Huizong and Qinzong were taken prisoner by the Jurchens, while Zhao Gou managed to escape to southern China.', ""He reestablished the Song dynasty (as the Southern Song dynasty) in Lin'an (present-day Hangzhou) and was proclaimed emperor.""]","[ 'emperor gaozong song ( 12 june 1107 – 9 november 1187 ) , personal name zhao gou , courtesy name deji , tenth emperor song dynasty china first emperor southern song dynasty . ' , 'he ninth son emperor huizong younger half-brother emperor qinzong . ' , 'in 1127 , wars song dynasty jurchen-led jin dynasty , song capital bianjing ( present-day kaifeng ) fell jin forces event historically known jingkang incident . ' , 'emperors huizong qinzong taken prisoner jurchens , zhao gou managed escape southern china . ' , `` reestablished song dynasty ( southern song dynasty ) lin'an ( present-day hangzhou ) proclaimed emperor . '' ]",emperor of Song Dynasty China,emperor song dynasty china,A,writer
Carmen_Hermosillo,"['Carmen Hermosillo (died August 10, 2008), A.K.A.', 'humdog, was a community manager/research analyst, essayist, and poet.', ""A contributor to 2GQ (now New Oregon Arts & Letters), FringeWare Review, wired, and Leonardo, Peter Ludlow's High Noon on the Electronic Frontier, and How to Mutate and Take Over the World, she was a participant in many online communities including early chat rooms and internet forums such as The WELL, BBSs, and later activities such as Second Life."", 'In 1994 she published a widely influential essay online, ""Pandora\'s Vox: On Community in Cyberspace"", in which she argued that the result of computer networks had led to, not a reduction in hierarchy, but actually a commodification of personality and a complex transfer of power and information to companies.', '""Pandora\'s Vox: On Community in Cyberspace"" (1994) ""Veni Redemptor: The Metallic Masks of God"" (1997) ""The History of the Board Ho"" (2004) ""A rant: Sex in Gaming"" (2005) ""Confessions of a Gorean Slave"" (2006) ""Roleplay and the Social Contract in Virtual Worlds"" (unfinished)       Hermosillo, Margarite (2010).']","[ 'carmen hermosillo ( died august 10 , 2008 ) , a.k.a . ' , 'humdog , community manager/research analyst , essayist , poet . ' , `` contributor 2gq ( new oregon arts & letters ) , fringeware review , wired , leonardo , peter ludlow 's high noon electronic frontier , mutate take world , participant many online communities including early chat rooms internet forums well , bbss , later activities second life . `` , 'in 1994 published widely influential essay online , `` pandora\ 's vox : community cyberspace '' , argued result computer networks led , reduction hierarchy , actually commodification personality complex transfer power information companies . ' , ' '' pandora\ 's vox : community cyberspace '' ( 1994 ) `` veni redemptor : metallic masks god '' ( 1997 ) `` history board ho '' ( 2004 ) `` rant : sex gaming '' ( 2005 ) `` confessions gorean slave '' ( 2006 ) `` roleplay social contract virtual worlds '' ( unfinished ) hermosillo , margarite ( 2010 ) . ' ]","Community manager, essayist, poet, research analyst","community manager , essayist , poet , research analyst",A,writer
Sue_Gardner,"['Sue Gardner (born May 11, 1967) is a Canadian journalist, not-for-profit executive and business executive.', ""She was the executive director of the Wikimedia Foundation from December 2007 until May 2014, and before that was the director of the Canadian Broadcasting Corporation's website and online news outlets."", 'In 2012, she was ranked as the 70th-most powerful woman in the world by Forbes magazine.', 'In 2013, she joined the board of Global Voices.', 'In May 2015, the Tor Project announced that Gardner would be assisting the project with the development of their long-term organizational strategy.']","[ 'sue gardner ( born may 11 , 1967 ) canadian journalist , not-for-profit executive business executive . ' , `` executive director wikimedia foundation december 2007 may 2014 , director canadian broadcasting corporation 's website online news outlets . `` , 'in 2012 , ranked 70th-most powerful woman world forbes magazine . ' , 'in 2013 , joined board global voices . ' , 'in may 2015 , tor project announced gardner would assisting project development long-term organizational strategy . ' ]",Canadian journalist & former executive director of the Wikimedia Foundation,canadian journalist & former executive director wikimedia foundation,A,writer
Stacy_Horn,"['Stacy Horn (born June 3, 1956 in Norfolk, Virginia) is an American author, businesswoman and occasional journalist.', 'She grew up on Long Island, New York and received a B.F.A.', 'from Tufts University and the School of the Museum of Fine Arts.', ""She received a graduate degree from New York University's Interactive Telecommunications Program.In 1990, after working as a telecommunications analyst for Mobil Corporation, Horn founded Echo, a New York-based bulletin board system."", 'Stacy Horn founded EchoNYC, a New York City Internet salon, in 1990, whose members are called Echoids.']","[ 'stacy horn ( born june 3 , 1956 norfolk , virginia ) american author , businesswoman occasional journalist . ' , 'she grew long island , new york received b.f.a . ' , 'from tufts university school museum fine arts . ' , `` received graduate degree new york university 's interactive telecommunications program.in 1990 , working telecommunications analyst mobil corporation , horn founded echo , new york-based bulletin board system . `` , 'stacy horn founded echonyc , new york city internet salon , 1990 , whose members called echoids . ' ]","American author, businesswoman and occasional journalist","american author , businesswoman occasional journalist",A,writer
Jude_Milhon,"['Judith [Jude] Milhon (March 12, 1939 – July 19, 2003), in Washington D.C., best known by her pseudonym St. Jude, was a self-taught programmer, civil rights advocate, writer, editor, advocate for women in computing   hacker and author in the San Francisco Bay Area.', 'Milhon coined the term cypherpunk and was a founding member of the cypherpunks.', 'On July 19, 2003, Milhon died of cancer.', 'Judith Milhon was born March 12, 1939 in Washington D.C., raised in Indiana, to a military family of the Marine Corps.', 'She married Robert Behling in 1961 and had one daughter, Tresca Behling, with him.']","[ 'judith [ jude ] milhon ( march 12 , 1939 – july 19 , 2003 ) , washington d.c. , best known pseudonym st. jude , self-taught programmer , civil rights advocate , writer , editor , advocate women computing hacker author san francisco bay area . ' , 'milhon coined term cypherpunk founding member cypherpunks . ' , 'on july 19 , 2003 , milhon died cancer . ' , 'judith milhon born march 12 , 1939 washington d.c. , raised indiana , military family marine corps . ' , 'she married robert behling 1961 one daughter , tresca behling , . ' ]",American hacker & author,american hacker & author,A,writer
Leonhard_Euler,"['Leonhard Euler ( OY-lər; German: [ˈɔʏlɐ] (listen); 15 April 1707 – 18 September 1783) was a Swiss mathematician, physicist, astronomer, geographer, logician and engineer who made important and influential discoveries in many branches of mathematics, such as infinitesimal calculus and graph theory, while also making pioneering contributions to several branches such as topology and analytic number theory.', 'He also introduced much of the modern mathematical terminology and notation, particularly for mathematical analysis, such as the notion of a mathematical function.', 'He is also known for his work in mechanics, fluid dynamics, optics, astronomy and music theory.Euler is held to be one of the greatest mathematicians in history.', 'A 1988 Mathematical Intelligencer poll ranked 3 of his results in the top 5 most beautiful equations ever (his iconic identity was ranked number one).', 'A statement attributed to Pierre-Simon Laplace expresses Euler\'s influence on mathematics: ""Read Euler, read Euler, he is the master of us all.""']","[ 'leonhard euler ( oy-lər ; german : [ ˈɔʏlɐ ] ( listen ) ; 15 april 1707 – 18 september 1783 ) swiss mathematician , physicist , astronomer , geographer , logician engineer made important influential discoveries many branches mathematics , infinitesimal calculus graph theory , also making pioneering contributions several branches topology analytic number theory . ' , 'he also introduced much modern mathematical terminology notation , particularly mathematical analysis , notion mathematical function . ' , 'he also known work mechanics , fluid dynamics , optics , astronomy music theory.euler held one greatest mathematicians history . ' , ' 1988 mathematical intelligencer poll ranked 3 results top 5 beautiful equations ever ( iconic identity ranked number one ) . ' , ' statement attributed pierre-simon laplace expresses euler\ 's influence mathematics : `` read euler , read euler , master us . '' ' ]",Swiss mathematician,swiss mathematician,A,writer
Loretta_Lux,"['Loretta Lux (born 1969) is a fine art photographer known for her surreal portraits of young children.', 'She lives and works in Ireland.', 'Lux has received the Infinity Award for Art from the International Center of Photography.', 'Her work is held in the collections of the Solomon R. Guggenheim Museum in New York, Museum of Contemporary Art, Los Angeles, Art Institute of Chicago and Art Gallery of New South Wales, Sydney.', 'Lux was born in Dresden, East Germany.']","[ 'loretta lux ( born 1969 ) fine art photographer known surreal portraits young children . ' , 'she lives works ireland . ' , 'lux received infinity award art international center photography . ' , 'her work held collections solomon r. guggenheim museum new york , museum contemporary art , los angeles , art institute chicago art gallery new south wales , sydney . ' , 'lux born dresden , east germany . ' ]",German photographer,german photographer,A,painter
